,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
540,2017,2,Mendoza,169302,1451,170753
541,2017,2,Misiones,99794,0,99794
542,2017,2,Neuquén,115321,2112,117433
543,2017,2,Río Negro,100621,998,101619
544,2017,2,Salta,108540,1,108541
545,2017,2,San Juan,51261,620,51881
546,2017,2,San Luis,12992,315,13307
547,2017,2,Santa Cruz,26019,369,26388
548,2017,2,Santa Fe,566918,362,567280
549,2017,2,Santiago Del Estero,33194,2,33196
550,2017,2,Tierra Del Fuego,31938,619,32557
551,2017,2,Tucumán,154374,37,154411
552,2017,1,Buenos Aires,3178174,11202,3189376
553,2017,1,Capital Federal,1391030,8016,1399046
554,2017,1,Catamarca,26304,13,26317
555,2017,1,Chaco,89036,14,89050
556,2017,1,Chubut,62166,1730,63896
557,2017,1,Córdoba,641066,133,641199
558,2017,1,Corrientes,88596,12,88608
559,2017,1,Entre Ríos,180296,57,180353
560,2017,1,Formosa,29705,0,29705
561,2017,1,Jujuy,43202,1,43203
562,2017,1,La Pampa,71458,455,71913
563,2017,1,La Rioja,16207,18,16225
564,2017,1,Mendoza,169282,1451,170733
565,2017,1,Misiones,97619,0,97619
566,2017,1,Neuquén,113227,2112,115339
567,2017,1,Río Negro,100288,1000,101288
568,2017,1,Salta,107632,1,107633
569,2017,1,San Juan,51253,620,51873
570,2017,1,San Luis,12992,315,13307
571,2017,1,Santa Cruz,26116,370,26486
572,2017,1,Santa Fe,562520,362,562882
573,2017,1,Santiago Del Estero,34473,2,34475
574,2017,1,Tierra Del Fuego,31938,619,32557
575,2017,1,Tucumán,152734,37,152771
576,2016,4,Buenos Aires,3131499,11202,3142701
577,2016,4,Capital Federal,1393443,8016,1401459
578,2016,4,Catamarca,27021,13,27034
579,2016,4,Chaco,88833,14,88847
580,2016,4,Chubut,62035,1730,63765
581,2016,4,Córdoba,636422,133,636555
582,2016,4,Corrientes,88084,12,88096
583,2016,4,Entre Ríos,180188,57,180245
584,2016,4,Formosa,29513,0,29513
585,2016,4,Jujuy,42624,1,42625
586,2016,4,La Pampa,71368,460,71828
587,2016,4,La Rioja,16298,18,16316
588,2016,4,Mendoza,169274,1451,170725
589,2016,4,Misiones,97390,0,97390
590,2016,4,Neuquén,111723,2112,113835
591,2016,4,Río Negro,100020,1000,101020
592,2016,4,Salta,106934,1,106935
593,2016,4,San Juan,51301,620,51921
594,2016,4,San Luis,12992,315,13307
595,2016,4,Santa Cruz,26094,370,26464
596,2016,4,Santa Fe,561470,362,561832
597,2016,4,Santiago Del Estero,35049,2,35051
598,2016,4,Tierra Del Fuego,31938,619,32557
599,2016,4,Tucumán,151615,37,151652
600,2016,3,Buenos Aires,3075387,11205,3086592
601,2016,3,Capital Federal,1395053,8051,1403104
602,2016,3,Catamarca,26957,13,26970
603,2016,3,Chaco,89216,14,89230
604,2016,3,Chubut,62222,1730,63952
605,2016,3,Córdoba,642458,133,642591
606,2016,3,Corrientes,88328,12,88340
607,2016,3,Entre Ríos,181092,57,181149
608,2016,3,Formosa,27716,0,27716
609,2016,3,Jujuy,42537,1,42538
610,2016,3,La Pampa,69903,461,70364
611,2016,3,La Rioja,16912,18,16930
612,2016,3,Mendoza,169174,1450,170624
613,2016,3,Misiones,97997,0,97997
614,2016,3,Neuquén,110491,2112,112603
615,2016,3,Río Negro,100024,1002,101026
